1.499999999999999944e-02 3.437040324329999663e+01
1.519999999999999997e-02 3.401280620179999659e+01
1.600000000000000033e-02 3.381426030680000139e+01
1.655900000000000080e-02 3.433595484690000177e+01
1.722699999999999926e-02 3.465285482050000354e+01
1.870000000000000134e-02 3.503986529960000240e+01
1.949999999999999997e-02 3.475564700329999823e+01
2.089999999999999844e-02 3.468900690379999929e+01
2.189999999999999933e-02 3.484122533320000059e+01
2.290000000000000022e-02 3.513073171300000297e+01
2.330000000000000127e-02 3.519214937299999946e+01
2.419999999999999929e-02 3.519731379400000293e+01
2.489999999999999852e-02 3.478445023839999806e+01
2.599999999999999881e-02 3.536182882890000201e+01
2.680000000000000090e-02 3.530326749019999966e+01
2.829999999999999877e-02 3.550950002969999986e+01
2.995499999999999899e-02 3.596952979470000145e+01
3.080000000000000099e-02 3.558024764329999812e+01
3.150000000000000022e-02 3.564748399749999663e+01
3.209999999999999659e-02 3.562400410800000117e+01
3.300000000000000155e-02 3.598941654469999918e+01
3.409999999999999837e-02 3.576043334039999877e+01
3.599999999999999728e-02 3.567294120030000215e+01
3.647999999999999854e-02 3.590288028129999987e+01
4.059999999999999720e-02 3.636355742340000319e+01
4.499999999999999833e-02 3.659916884260000103e+01
4.909999999999999781e-02 3.671997438849999895e+01
5.371000000000000080e-02 3.647359007000000020e+01
5.829999999999999766e-02 3.705113451279999737e+01
6.500000000000000222e-02 3.732622502339999926e+01
6.900000000000000577e-02 3.756328935380000189e+01
7.857699999999999407e-02 3.748801533259999985e+01
8.758900000000000019e-02 3.823128808839999948e+01
1.009150000000000047e-01 3.845647928780000058e+01
1.160000000000000059e-01 3.870006985180000214e+01
1.239999999999999991e-01 3.880755674670000133e+01
1.280000000000000027e-01 3.892038101589999854e+01
1.429999999999999882e-01 3.928195035160000259e+01
1.469999999999999918e-01 3.955926981319999669e+01
1.560999999999999888e-01 3.922773688699999894e+01
1.719999999999999862e-01 3.930608876550000019e+01
1.789999999999999925e-01 4.009885479009999898e+01
1.829999999999999960e-01 3.960492159729999884e+01
1.900000000000000022e-01 3.977799492030000295e+01
